Country,Total Members
Algeria,7
Argentina,164
Armenia,23
Australia,346
Austria,74
"Azerbaijan, Republic of",5
Belgium,140
Bolivia,1
"Botswana, Republic of",2
Brazil,205
Bulgaria,61
Canada,311
Chile,139
"China, Nanjing",614
"China, Taipei",81
Colombia,33
Costa Rica,2
"Croatia, the Republic of",29
Cuba,1
Cyprus,5
Czech Republic,137
Denmark,91
Ecuador,7
Egypt,87
Estonia,21
Ethiopia,15
Finland,99
France,697
Georgia,13
Germany,677
Ghana,2
Greece,112
Honduras,4
Hungary,87
Iceland,7
India,374
Indonesia,19
"Iran, Islamic Rep of",30
Iraq,23
Ireland,52
Israel,102
Italy,704
Japan,700
Jordan,4
Kazakhstan,19
"Korea, Democratic People's Republic of",0
"Korea, Rep of",209
Latvia,12
Lebanon,5
Lithuania,20
Madagascar,7
Malaysia,22
Mexico,178
Mongolia,3
Morocco,19
Mozambique,2
Netherlands,326
New Zealand,41
Nigeria,8
Norway,64
Panama,4
Peru,2
Philippines,6
Poland,177
Portugal,78
Romania,39
Russian Federation,437
Saudi Arabia,4
"Serbia, Republic of",63
Slovakia,51
"Slovenia, the Republic of",14
South Africa,149
Spain,471
Sweden,190
Switzerland,116
Syrian Arab Republic,2
Tajikistan,6
Thailand,51
Turkey,82
Ukraine,175
United Arab Emirates,10
United Kingdom,654
United States,2626
Uruguay,4
Uzbekistan,3
Vatican City State,12
Venezuela,15
Vietnam,15
